filename,box_topleft_x,box_topleft_y,box_width,box_height,image_width,image_height,box_bottomright_x,box_bottomright_y,max_box_dim,file_path,face_number,face_img
Image_10.jpg,3232,777,874,848,5616,2633,4106,1625,874,daskShared_local/images/Image_10.jpg,10,"[array([[[  0, 196, 244],
        [  0, 196, 244],
        [  0, 197, 245],
        ...,
        [  0, 208, 255],
        [  1, 208, 255],
        [  1, 208, 255]],

       [[  0, 196, 244],
        [  0, 196, 244],
        [  0, 197, 245],
        ...,
        [  0, 208, 255],
        [  0, 208, 255],
        [  0, 208, 255]],

       [[  0, 195, 243],
        [  0, 195, 243],
        [  0, 196, 244],
        ...,
        [  0, 208, 255],
        [  0, 208, 255],
        [  0, 209, 255]],

       ...,

       [[  0, 133, 180],
        [  1, 133, 181],
        [  1, 133, 181],
        ...,
        [181, 140, 122],
        [198, 135, 110],
        [223, 157, 134]],

       [[  0, 135, 179],
        [  1, 134, 181],
        [  1, 134, 181],
        ...,
        [148, 103,  84],
        [181, 118,  96],
        [204, 139, 120]],

       [[  0, 136, 179],
        [  0, 135, 180],
        [  0, 133, 179],
        ...,
        [146,  96,  72],
        [167, 103,  81],
        [184, 121,  98]]], dtype=uint8)]"
Image_100.jpg,283,136,158,120,800,505,441,256,158,daskShared_local/images/Image_100.jpg,100,"[array([[[ 52,  68,  65],
        [ 49,  66,  61],
        [ 48,  68,  61],
        ...,
        [  1,  17,  32],
        [  1,  16,  31],
        [  3,  19,  32]],

       [[ 52,  68,  66],
        [ 49,  67,  63],
        [ 49,  72,  65],
        ...,
        [  4,  20,  35],
        [  1,  16,  32],
        [  2,  19,  33]],

       [[ 45,  63,  62],
        [ 46,  68,  64],
        [ 53,  80,  73],
        ...,
        [ 12,  28,  44],
        [  4,  21,  36],
        [  6,  24,  38]],

       ...,

       [[129, 121,  84],
        [125, 117,  81],
        [118, 111,  77],
        ...,
        [ 95,  89,  69],
        [127, 119,  98],
        [155, 146, 124]],

       [[116, 109,  72],
        [115, 109,  73],
        [114, 109,  75],
        ...,
        [125, 118,  97],
        [173, 163, 141],
        [183, 171, 149]],

       [[104,  99,  61],
        [107, 102,  66],
        [111, 107,  73],
        ...,
        [152, 144, 122],
        [213, 202, 179],
        [222, 208, 185]]], dtype=uint8)]"
Image_1000.jpg,228,184,156,160,500,559,384,344,160,daskShared_local/images/Image_1000.jpg,1000,"[array([[[ 78, 180, 182],
        [ 77, 180, 181],
        [ 76, 180, 181],
        ...,
        [123, 216, 206],
        [129, 214, 209],
        [129, 214, 207]],

       [[ 79, 181, 183],
        [ 78, 181, 183],
        [ 77, 181, 182],
        ...,
        [123, 218, 207],
        [127, 217, 210],
        [127, 216, 208]],

       [[ 78, 180, 182],
        [ 77, 180, 182],
        [ 76, 180, 181],
        ...,
        [122, 217, 206],
        [123, 218, 208],
        [123, 217, 206]],

       ...,

       [[103,  91,  37],
        [127, 115,  52],
        [135, 123,  41],
        ...,
        [124, 116,  63],
        [155, 144,  69],
        [132, 120,  41]],

       [[ 88,  78,  14],
        [106,  96,  34],
        [114, 104,  37],
        ...,
        [130, 129,  57],
        [138, 133,  52],
        [ 95,  88,   8]],

       [[118, 109,  34],
        [100,  90,  25],
        [ 79,  69,  13],
        ...,
        [124, 126,  40],
        [119, 117,  35],
        [ 92,  87,   8]]], dtype=uint8)]"
Image_1001.jpg,1721,517,1552,1636,4631,3087,3273,2153,1636,daskShared_local/images/Image_1001.jpg,1001,"[array([[[ 20,  94, 240],
        [ 20,  94, 240],
        [ 20,  94, 240],
        ...,
        [  0,  58, 193],
        [  0,  58, 193],
        [  0,  57, 192]],

       [[ 21,  93, 240],
        [ 21,  93, 240],
        [ 20,  93, 240],
        ...,
        [  0,  58, 192],
        [  0,  57, 192],
        [  0,  56, 191]],

       [[ 21,  93, 240],
        [ 21,  92, 240],
        [ 21,  92, 240],
        ...,
        [  0,  58, 191],
        [  0,  57, 191],
        [  0,  57, 190]],

       ...,

       [[108, 111,  85],
        [103,  93,  58],
        [ 82,  65,  41],
        ...,
        [ 44,  54,  30],
        [ 44,  52,  29],
        [ 47,  54,  32]],

       [[100, 102,  88],
        [102, 103,  69],
        [ 88,  74,  45],
        ...,
        [ 41,  50,  29],
        [ 42,  48,  27],
        [ 53,  62,  35]],

       [[ 97,  93,  78],
        [ 93,  97,  74],
        [ 90,  80,  51],
        ...,
        [ 34,  42,  24],
        [ 34,  42,  24],
        [ 54,  64,  35]]], dtype=uint8)]"
Image_1002.jpg,517,239,340,224,1200,900,857,463,340,daskShared_local/images/Image_1002.jpg,1002,"[array([[[ 59, 179, 196],
        [ 50, 177, 196],
        [ 36, 173, 187],
        ...,
        [110, 196, 207],
        [ 92, 190, 206],
        [ 91, 190, 208]],

       [[ 54, 178, 191],
        [ 49, 175, 187],
        [ 39, 172, 187],
        ...,
        [ 76, 185, 198],
        [ 99, 193, 213],
        [ 90, 190, 208]],

       [[ 67, 179, 192],
        [ 49, 171, 185],
        [ 53, 173, 188],
        ...,
        [ 78, 186, 210],
        [ 84, 187, 212],
        [ 87, 189, 212]],

       ...,

       [[225, 240, 241],
        [221, 240, 241],
        [194, 227, 230],
        ...,
        [175, 220, 232],
        [152, 210, 225],
        [139, 206, 221]],

       [[229, 242, 246],
        [226, 241, 244],
        [199, 229, 234],
        ...,
        [160, 212, 225],
        [156, 209, 227],
        [144, 207, 223]],

       [[224, 240, 241],
        [219, 238, 242],
        [219, 237, 243],
        ...,
        [165, 214, 228],
        [156, 210, 225],
        [153, 208, 225]]], dtype=uint8)]"
Image_1003.jpg,672,652,427,282,2793,2090,1099,934,427,daskShared_local/images/Image_1003.jpg,1003,"[array([[[  5,  69, 195],
        [  5,  69, 195],
        [  5,  69, 195],
        ...,
        [  5,  69, 192],
        [  4,  68, 191],
        [  3,  67, 190]],

       [[  5,  69, 195],
        [  5,  69, 195],
        [  5,  69, 195],
        ...,
        [  5,  69, 192],
        [  4,  68, 191],
        [  3,  67, 190]],

       [[  5,  69, 195],
        [  5,  69, 195],
        [  5,  69, 195],
        ...,
        [  3,  67, 190],
        [  3,  67, 190],
        [  3,  67, 190]],

       ...,

       [[  3,  50, 154],
        [  3,  50, 154],
        [  3,  50, 154],
        ...,
        [194, 203, 162],
        [188, 201, 165],
        [154, 172, 141]],

       [[  3,  50, 154],
        [  3,  50, 154],
        [  3,  50, 154],
        ...,
        [190, 198, 157],
        [173, 185, 148],
        [183, 201, 170]],

       [[  3,  50, 154],
        [  3,  50, 154],
        [  3,  50, 154],
        ...,
        [189, 197, 158],
        [150, 161, 124],
        [180, 197, 166]]], dtype=uint8)]"
Image_1004.jpg,645,116,211,187,1156,650,856,303,211,daskShared_local/images/Image_1004.jpg,1004,"[array([[[ 13, 148, 167],
        [  1, 143, 157],
        [ 10, 153, 166],
        ...,
        [ 37, 148, 166],
        [ 65, 177, 189],
        [ 51, 164, 172]],

       [[ 16, 146, 166],
        [  4, 139, 156],
        [  5, 142, 158],
        ...,
        [ 43, 154, 174],
        [ 47, 157, 173],
        [ 66, 173, 186]],

       [[ 17, 136, 158],
        [ 13, 137, 155],
        [ 12, 139, 155],
        ...,
        [ 38, 152, 175],
        [ 40, 146, 167],
        [ 59, 158, 177]],

       ...,

       [[ 85,  91,  65],
        [118, 118,  92],
        [ 96,  96,  69],
        ...,
        [  0, 132, 177],
        [  0, 132, 176],
        [  0, 132, 176]],

       [[ 44,  48,  32],
        [ 72,  70,  54],
        [ 75,  70,  54],
        ...,
        [  0, 131, 177],
        [  0, 131, 175],
        [  0, 131, 175]],

       [[ 10,  11,   6],
        [ 22,  19,  13],
        [ 37,  31,  24],
        ...,
        [  3, 129, 177],
        [  3, 130, 175],
        [  3, 130, 175]]], dtype=uint8)]"
Image_1005.jpg,335,132,270,217,845,563,605,349,270,daskShared_local/images/Image_1005.jpg,1005,"[array([[[ 82, 195, 199],
        [105, 200, 202],
        [115, 209, 213],
        ...,
        [ 78, 193, 190],
        [ 74, 191, 188],
        [ 69, 189, 187]],

       [[ 96, 192, 201],
        [111, 201, 203],
        [119, 206, 209],
        ...,
        [ 77, 192, 188],
        [ 73, 190, 186],
        [ 70, 189, 185]],

       [[115, 195, 206],
        [119, 204, 207],
        [120, 203, 207],
        ...,
        [ 80, 195, 190],
        [ 76, 192, 187],
        [ 75, 192, 186]],

       ...,

       [[ 54,  77,  23],
        [ 54,  84,  24],
        [ 68,  98,  38],
        ...,
        [ 44, 200, 189],
        [ 49, 201, 190],
        [ 55, 202, 191]],

       [[ 60,  90,  27],
        [ 55,  87,  27],
        [ 69, 102,  41],
        ...,
        [ 43, 200, 189],
        [ 51, 202, 191],
        [ 58, 203, 193]],

       [[ 57, 102,  25],
        [ 56,  94,  31],
        [ 58,  97,  35],
        ...,
        [ 40, 199, 189],
        [ 50, 202, 193],
        [ 59, 204, 195]]], dtype=uint8)]"
Image_1006.jpg,349,91,163,208,728,486,512,299,208,daskShared_local/images/Image_1006.jpg,1006,"[array([[[  1,  66, 254],
        [  1,  64, 253],
        [  1,  64, 255],
        ...,
        [  0, 114, 255],
        [  0, 111, 253],
        [  1, 114, 255]],

       [[  1,  66, 254],
        [  1,  64, 253],
        [  1,  69, 253],
        ...,
        [  1, 112, 254],
        [  1, 114, 254],
        [  2, 113, 255]],

       [[  0,  63, 254],
        [  0,  63, 253],
        [  0,  67, 254],
        ...,
        [  1, 110, 253],
        [  2, 113, 254],
        [  1, 112, 254]],

       ...,

       [[135,  90,  50],
        [156, 107,  74],
        [211, 160, 128],
        ...,
        [171, 175, 175],
        [227, 224, 213],
        [221, 204, 181]],

       [[119,  82,  52],
        [180, 128,  96],
        [217, 175, 147],
        ...,
        [118, 119, 110],
        [217, 215, 201],
        [203, 187, 164]],

       [[130,  85,  62],
        [205, 160, 138],
        [220, 187, 172],
        ...,
        [123, 124, 109],
        [216, 209, 189],
        [203, 188, 167]]], dtype=uint8)]"
Image_1007.png,390,186,309,277,900,600,699,463,309,daskShared_local/images/Image_1007.png,1007,"[array([[[112, 128, 140],
        [133, 137, 145],
        [144, 144, 150],
        ...,
        [ 18, 151, 182],
        [ 13, 151, 185],
        [ 21, 148, 180]],

       [[141, 140, 135],
        [136, 135, 135],
        [146, 141, 141],
        ...,
        [ 32, 150, 181],
        [ 20, 154, 180],
        [ 20, 149, 181]],

       [[121, 113, 112],
        [132, 124, 126],
        [133, 136, 142],
        ...,
        [ 19, 151, 179],
        [ 25, 151, 180],
        [ 23, 153, 186]],

       ...,

       [[ 66, 116,  74],
        [ 67, 117,  72],
        [ 70, 118,  79],
        ...,
        [ 83, 158, 136],
        [ 85, 160, 144],
        [ 93, 162, 148]],

       [[ 71, 123,  75],
        [ 67, 120,  79],
        [ 66, 115,  85],
        ...,
        [ 80, 157, 137],
        [ 84, 154, 139],
        [ 90, 159, 146]],

       [[ 40, 105,  95],
        [ 42,  92,  87],
        [ 25,  77,  79],
        ...,
        [ 81, 152, 139],
        [ 81, 148, 138],
        [ 87, 152, 137]]], dtype=uint8)]"
